Convert:	Verbose  : 7/7/2015 5:41:16 PM
FindPreReqProjectsInReferences :	Verbose  : Ignoring following path since it references the project's own $(O) C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\1f64632e-9d78-46fa-8f60-813c33a391a2
GetPrerequisiteProjects        :	Verbose  : No prerequisite projects found for project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
AddPrerequisitesToSolution     :	Verbose  : Project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj had no prerequisites, adding to solution
GetDependencyInformation       :	Information  : The primary project collection does not contain any projects that depend on others.
CreateSolutionIncludingDependencies:	Verbose  : Attempting to generate solution file C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.sln from projects list
CreatePackage                      :	Verbose  : Checking if any of the following projects should be packaged
                                                	 C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
CreatePackage                      :	Verbose  : Project Marauder.vcxproj will be packaged because it is a driver project
CreatePackage                      :	Verbose  : Generating package project
CreatePackage                      :	Verbose  : Adding reference to project ..\Marauder.vcxproj with project guid {746E8EAD-051F-4AC1-91E7-DA06E3F4D1BE}
CreatePackage                      :	Verbose  : Setting package project DebuggerFlavor to: DbgengKernelDebugger
CreatePackage                      :	Information  : Generated Package Project file 'C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder-Package\Marauder-Package.vcxproj'
InitializeProjectsForSolution      :	Information  : Generating solution C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.sln from:
                                                    	    C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder-Package\Marauder-Package.vcxproj
                                                    	    C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {5DAE34E0-172D-4B3F-A1D2-64E0A4A1B3F0} was extracted from project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder-Package\Marauder-Package.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {746E8EAD-051F-4AC1-91E7-DA06E3F4D1BE} was extracted from project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder-Package\Marauder-Package.vcxproj does not depend on others
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj does not depend on others
WriteProjectEntries          :	Verbose  : Added project Marauder-Package to solution with a GUID of {5DAE34E0-172D-4B3F-A1D2-64E0A4A1B3F0}
WriteProjectEntries          :	Verbose  : Added project Marauder to solution with a GUID of {746E8EAD-051F-4AC1-91E7-DA06E3F4D1BE}
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder-Package\Marauder-Package.vcxproj
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.vcxproj
CreateSolutionIncludingDependencies:	Information  : Solution C:\Users\alex\Desktop\Rootkits-Playground\sources\Marauder\Marauder.sln was created successfully
Convert                            :	Information  : ========== Project Conversion Finished: 1 Solution created with 2 Projects ==========
Convert                            :	Verbose  : 7/7/2015 5:41:17 PM
