Convert:	Verbose  : 7/6/2015 10:18:31 PM
                                                    	    C:\Users\alex\Desktop\Rootkits-Playground\sources\skeleton_rootkit\skeleton_rootkit.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {4EB75CE1-DFFE-4F42-A54A-08E1BC008053} was extracted from project C:\Users\alex\Desktop\Rootkits-Playground\sources\skeleton_rootkit\skeleton_rootkit-Package\skeleton_rootkit-Package.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {F8F7E222-ADB9-411B-BC0E-B0D6028B7417} was extracted from project C:\Users\alex\Desktop\Rootkits-Playground\sources\skeleton_rootkit\skeleton_rootkit.vcxproj
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Desktop\Rootkits-Playground\sources\skeleton_rootkit\skeleton_rootkit-Package\skeleton_rootkit-Package.vcxproj does not depend on others
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Desktop\Rootkits-Playground\sources\skeleton_rootkit\skeleton_rootkit.vcxproj does not depend on others
WriteProjectEntries          :	Verbose  : Added project skeleton_rootkit-Package to solution with a GUID of {4EB75CE1-DFFE-4F42-A54A-08E1BC008053}
WriteProjectEntries          :	Verbose  : Added project skeleton_rootkit to solution with a GUID of {F8F7E222-ADB9-411B-BC0E-B0D6028B7417}
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Desktop\Rootkits-Playground\sources\skeleton_rootkit\skeleton_rootkit-Package\skeleton_rootkit-Package.vcxproj
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Desktop\Rootkits-Playground\sources\skeleton_rootkit\skeleton_rootkit.vcxproj
CreateSolutionIncludingDependencies:	Information  : Solution C:\Users\alex\Desktop\Rootkits-Playground\sources\skeleton_rootkit\skeleton_rootkit.sln was created successfully
Convert                            :	Information  : ========== Project Conversion Finished: 1 Solution created with 2 Projects ==========
Convert                            :	Verbose  : 7/6/2015 10:18:32 PM
