Convert:	Verbose  : 7/28/2015 2:21:58 PM
AddOverrideConditionsToProperies:	Verbose  : Appended override conditions to properties in file 'C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\SOURCES.props' and its imports
GetDependencyInformation        :	Information  : Checking for external project dependencies
GetDependencyInformation        :	Verbose  : Processing the following list of primary projects
                                             	C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
AddPrerequisitesToSolution      :	Verbose  : Finding prerequisites for C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
GetPrerequisiteProjects         :	Verbose  : Scanning for prerequisites for project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
EvaluateProject                 :	Verbose  : $(O) set to ddf12030-95fc-4a32-931c-c9855a9884e9
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type ClCompile
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type MessageCompile
ExtractIncludesFromItem         :	Verbose  : Didn't find any items of type MessageCompile in project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type Midl
ExtractIncludesFromItem   :	Verbose  : Didn't find any items of type Midl in project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
ExtractIncludesFromItem   :	Verbose  : Extracting include elements from all items of type ResourceCompile
ExtractIncludesFromItem   :	Verbose  : Didn't find any items of type ResourceCompile in project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
ExtractIncludesFromItemMetadata:	Verbose  : Extracting include elements from metadata AdditionalDependencies on item type Link, using splitter ;
ExtractIncludesFromItemMetadata:	Verbose  : Extracting include elements from metadata AdditionalIncludeDirectories on item type ClCompile, using splitter ;
FindPreReqProjectsInReferences :	Verbose  : Ignoring following path since it references the project's own $(O) C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\ddf12030-95fc-4a32-931c-c9855a9884e9
GetPrerequisiteProjects        :	Verbose  : No prerequisite projects found for project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
AddPrerequisitesToSolution     :	Verbose  : Project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj had no prerequisites, adding to solution
GetDependencyInformation       :	Information  : The primary project collection does not contain any projects that depend on others.
CreateSolutionIncludingDependencies:	Verbose  : Attempting to generate solution file C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.sln from projects list
CreatePackage                      :	Verbose  : Checking if any of the following projects should be packaged
                                                	 C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
CreatePackage                      :	Verbose  : Project MYFU.vcxproj will be packaged because it is a driver project
CreatePackage                      :	Verbose  : Generating package project
CreatePackage                      :	Verbose  : Adding reference to project ..\MYFU.vcxproj with project guid {41F5FD7A-CCE0-42EE-9B38-7104BEB5078F}
CreatePackage                      :	Verbose  : Setting package project DebuggerFlavor to: DbgengKernelDebugger
CreatePackage                      :	Information  : Generated Package Project file 'C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU-Package\MYFU-Package.vcxproj'
InitializeProjectsForSolution      :	Information  : Generating solution C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.sln from:
                                                    	    C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU-Package\MYFU-Package.vcxproj
                                                    	    C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {7297D2A0-A61A-4E46-AE75-88C739960766} was extracted from project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU-Package\MYFU-Package.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {41F5FD7A-CCE0-42EE-9B38-7104BEB5078F} was extracted from project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU-Package\MYFU-Package.vcxproj does not depend on others
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj does not depend on others
WriteProjectEntries          :	Verbose  : Added project MYFU-Package to solution with a GUID of {7297D2A0-A61A-4E46-AE75-88C739960766}
WriteProjectEntries          :	Verbose  : Added project MYFU to solution with a GUID of {41F5FD7A-CCE0-42EE-9B38-7104BEB5078F}
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU-Package\MYFU-Package.vcxproj
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.vcxproj
CreateSolutionIncludingDependencies:	Information  : Solution C:\Users\alex\Documents\GitHub\Rootkits-Playground\MYFU\MYFU.sln was created successfully
Convert                            :	Information  : ========== Project Conversion Finished: 1 Solution created with 2 Projects ==========
Convert                            :	Verbose  : 7/28/2015 2:21:59 PM
