Convert:	Verbose  : 7/28/2015 10:31:35 AM
AddIDESupport                :	Verbose  : Finished adding propery page support for converted targets and macros, changes saved to C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
AddOverrideConditionsToProperies:	Verbose  : Appended override conditions to properties in file 'C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\SOURCES.props' and its imports
GetDependencyInformation        :	Information  : Checking for external project dependencies
GetDependencyInformation        :	Verbose  : Processing the following list of primary projects
                                             	C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
AddPrerequisitesToSolution      :	Verbose  : Finding prerequisites for C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
GetPrerequisiteProjects         :	Verbose  : Scanning for prerequisites for project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
EvaluateProject                 :	Verbose  : $(O) set to 5bffe708-fa23-4cee-a03b-1e0a52b16a18
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type ClCompile
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type MessageCompile
ExtractIncludesFromItem         :	Verbose  : Didn't find any items of type MessageCompile in project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
ExtractIncludesFromItem         :	Verbose  : Extracting include elements from all items of type Midl
ExtractIncludesFromItem   :	Verbose  : Didn't find any items of type Midl in project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
ExtractIncludesFromItem   :	Verbose  : Extracting include elements from all items of type ResourceCompile
ExtractIncludesFromItem   :	Verbose  : Didn't find any items of type ResourceCompile in project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
ExtractIncludesFromItemMetadata:	Verbose  : Extracting include elements from metadata AdditionalDependencies on item type Link, using splitter ;
ExtractIncludesFromItemMetadata:	Verbose  : Extracting include elements from metadata AdditionalIncludeDirectories on item type ClCompile, using splitter ;
FindPreReqProjectsInReferences :	Verbose  : Ignoring following path since it references the project's own $(O) C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\5bffe708-fa23-4cee-a03b-1e0a52b16a18
GetPrerequisiteProjects        :	Verbose  : No prerequisite projects found for project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
AddPrerequisitesToSolution     :	Verbose  : Project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj had no prerequisites, adding to solution
GetDependencyInformation       :	Information  : The primary project collection does not contain any projects that depend on others.
CreateSolutionIncludingDependencies:	Verbose  : Attempting to generate solution file C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.sln from projects list
CreatePackage                      :	Verbose  : Checking if any of the following projects should be packaged
                                                	 C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
CreatePackage                      :	Verbose  : Project NOFU.vcxproj will be packaged because it is a driver project
CreatePackage                      :	Verbose  : Generating package project
CreatePackage                      :	Verbose  : Adding reference to project ..\NOFU.vcxproj with project guid {242DC189-EC14-4312-8DD6-6C30D4FD0E73}
CreatePackage                      :	Verbose  : Setting package project DebuggerFlavor to: DbgengKernelDebugger
CreatePackage                      :	Information  : Generated Package Project file 'C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU-Package\NOFU-Package.vcxproj'
InitializeProjectsForSolution      :	Information  : Generating solution C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.sln from:
                                                    	    C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU-Package\NOFU-Package.vcxproj
                                                    	    C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {8516DBB8-0EDC-4DEF-AC25-723297F46280} was extracted from project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU-Package\NOFU-Package.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {242DC189-EC14-4312-8DD6-6C30D4FD0E73} was extracted from project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU-Package\NOFU-Package.vcxproj does not depend on others
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj does not depend on others
WriteProjectEntries          :	Verbose  : Added project NOFU-Package to solution with a GUID of {8516DBB8-0EDC-4DEF-AC25-723297F46280}
WriteProjectEntries          :	Verbose  : Added project NOFU to solution with a GUID of {242DC189-EC14-4312-8DD6-6C30D4FD0E73}
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU-Package\NOFU-Package.vcxproj
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.vcxproj
CreateSolutionIncludingDependencies:	Information  : Solution C:\Users\alex\Documents\Visual Studio 2013\Projects\MYFU\NOFU.sln was created successfully
Convert                            :	Information  : ========== Project Conversion Finished: 1 Solution created with 2 Projects ==========
Convert                            :	Verbose  : 7/28/2015 10:31:36 AM
