Convert:	Verbose  : 7/27/2015 10:18:31 PM
CreatePackage                      :	Verbose  : Checking if any of the following projects should be packaged
                                                	 C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
CreatePackage                      :	Verbose  : Project NOFU.vcxproj will be packaged because it is a driver project
CreatePackage                      :	Verbose  : Generating package project
CreatePackage                      :	Verbose  : Adding reference to project ..\NOFU.vcxproj with project guid {9206015A-8FAE-4592-81B6-1596EC8B5121}
CreatePackage                      :	Verbose  : Setting package project DebuggerFlavor to: DbgengKernelDebugger
CreatePackage                      :	Information  : Generated Package Project file 'C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU-Package\NOFU-Package.vcxproj'
InitializeProjectsForSolution      :	Information  : Generating solution C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.sln from:
                                                    	    C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU-Package\NOFU-Package.vcxproj
                                                    	    C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {7E800ABC-A3D8-482B-8315-712BC7A26688} was extracted from project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU-Package\NOFU-Package.vcxproj
ExtractProjectGuid                 :	Verbose  :  GUID {9206015A-8FAE-4592-81B6-1596EC8B5121} was extracted from project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU-Package\NOFU-Package.vcxproj does not depend on others
InitializeProjectsForSolution:	Verbose  : Project C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj does not depend on others
WriteProjectEntries          :	Verbose  : Added project NOFU-Package to solution with a GUID of {7E800ABC-A3D8-482B-8315-712BC7A26688}
WriteProjectEntries          :	Verbose  : Added project NOFU to solution with a GUID of {9206015A-8FAE-4592-81B6-1596EC8B5121}
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU-Package\NOFU-Package.vcxproj
WriteProjectConfigurations   :	Verbose  : Writing project configurations for C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.vcxproj
CreateSolutionIncludingDependencies:	Information  : Solution C:\Users\alex\Desktop\Rootkits-Playground\sources\NOFU\NOFU.sln was created successfully
Convert                            :	Information  : ========== Project Conversion Finished: 1 Solution created with 2 Projects ==========
Convert                            :	Verbose  : 7/27/2015 10:18:32 PM
